               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084258,            0.057837,            0.073732,            0.079352,             0.20086,            0.086655,            0.038633,            0.048602,            0.030035,            0.052555,            0.070294,           0.0033007,           0.0033007
                   1,            0.056121,            0.051161,            0.061489,             0.40537,             0.28441,             0.23538,             0.10134,            0.043554,            0.027862,            0.040241,            0.040228,           0.0065683,           0.0065683
                   2,            0.055742,            0.051219,            0.048826,             0.37763,              0.3479,             0.24744,             0.11724,            0.049695,            0.027583,            0.027801,            0.010097,             0.00977,             0.00977
                   3,            0.052363,            0.050685,            0.040538,             0.44098,             0.51989,             0.49912,             0.27679,            0.042954,            0.028713,            0.019392,            0.009703,            0.009703,            0.009703
                   4,            0.049433,            0.050858,            0.034255,             0.50988,             0.46799,             0.46482,             0.25393,            0.038779,            0.027129,            0.019664,            0.009703,            0.009703,            0.009703
                   5,            0.048597,            0.050144,            0.028899,             0.58775,             0.58992,             0.61668,              0.3356,             0.03577,            0.028729,            0.014804,            0.009604,            0.009604,            0.009604
                   6,            0.047159,            0.051881,            0.024888,             0.58202,             0.66639,             0.64214,             0.38054,            0.033185,             0.02819,            0.011952,            0.009505,            0.009505,            0.009505
                   7,            0.044886,            0.048887,            0.022149,             0.75747,             0.67377,             0.74821,             0.46375,            0.030974,            0.027199,           0.0085256,            0.009406,            0.009406,            0.009406
                   8,            0.044284,            0.050668,            0.020119,             0.57875,             0.61416,             0.60106,             0.33199,            0.035395,            0.029038,            0.026397,            0.009307,            0.009307,            0.009307
                   9,            0.043968,            0.048188,            0.018775,             0.66241,             0.69431,              0.7088,             0.43234,            0.031023,            0.027196,            0.011895,            0.009208,            0.009208,            0.009208
                  10,            0.043153,            0.051421,            0.018185,             0.70159,             0.75349,              0.7624,             0.47857,            0.032628,            0.026948,           0.0088525,            0.009109,            0.009109,            0.009109
                  11,            0.043565,            0.048999,            0.015975,             0.66446,             0.73048,             0.73194,             0.45295,            0.028137,            0.026819,           0.0084663,             0.00901,             0.00901,             0.00901
                  12,            0.042143,            0.051794,            0.014958,             0.72293,             0.74621,             0.77247,             0.47674,            0.029158,            0.026118,            0.008566,            0.008911,            0.008911,            0.008911
                  13,            0.041684,            0.048491,            0.013873,             0.73579,             0.73226,             0.74131,              0.4685,            0.029096,            0.026757,            0.010792,            0.008812,            0.008812,            0.008812
                  14,            0.040853,            0.047297,             0.01458,             0.70052,             0.72799,             0.77088,             0.47826,            0.028029,            0.025893,             0.01044,            0.008713,            0.008713,            0.008713
                  15,            0.040988,            0.047425,            0.011241,             0.77572,             0.80316,             0.81707,             0.51463,            0.029712,            0.025854,           0.0067635,            0.008614,            0.008614,            0.008614
                  16,            0.041588,            0.046653,             0.01178,             0.79134,             0.74435,             0.79292,             0.50787,            0.027748,            0.025927,           0.0084263,            0.008515,            0.008515,            0.008515
                  17,             0.04027,            0.048479,            0.011059,             0.76977,             0.80223,              0.8133,             0.51626,            0.028109,            0.024175,           0.0066755,            0.008416,            0.008416,            0.008416
                  18,            0.039615,            0.046943,             0.01054,             0.74316,             0.74766,             0.77472,             0.48081,            0.027401,            0.026101,             0.00896,            0.008317,            0.008317,            0.008317
                  19,            0.039833,            0.046653,            0.010373,             0.81451,               0.752,             0.79996,             0.52687,             0.02933,             0.02639,           0.0067598,            0.008218,            0.008218,            0.008218
                  20,            0.039096,            0.046616,            0.011895,             0.80074,              0.7601,             0.80399,             0.52526,             0.02724,            0.026706,           0.0080371,            0.008119,            0.008119,            0.008119
                  21,             0.03821,            0.046866,           0.0098564,             0.76817,             0.79445,             0.82262,             0.53321,            0.028056,            0.026721,           0.0055013,             0.00802,             0.00802,             0.00802
                  22,            0.038821,            0.044604,           0.0087638,              0.7846,             0.80911,             0.82541,             0.53236,            0.028769,            0.025015,           0.0061713,            0.007921,            0.007921,            0.007921
                  23,            0.037707,            0.045076,           0.0094783,             0.76971,             0.75311,             0.80107,             0.51652,            0.027178,            0.024902,           0.0070838,            0.007822,            0.007822,            0.007822
                  24,             0.03784,            0.045736,           0.0085299,             0.78457,             0.82108,             0.83226,             0.57601,            0.026399,            0.025176,           0.0065054,            0.007723,            0.007723,            0.007723
                  25,            0.036549,            0.044043,           0.0084797,             0.78535,             0.77949,             0.82064,             0.54174,            0.026751,            0.023617,           0.0064319,            0.007624,            0.007624,            0.007624
                  26,            0.036538,            0.044041,           0.0089545,             0.79451,               0.807,             0.83557,             0.55682,            0.026085,            0.023672,           0.0075312,            0.007525,            0.007525,            0.007525
                  27,            0.036918,            0.044362,           0.0084222,             0.82429,             0.77864,             0.82723,             0.55616,            0.025937,            0.025786,           0.0074693,            0.007426,            0.007426,            0.007426
                  28,             0.03723,            0.045338,           0.0084886,             0.82259,             0.81972,             0.85252,             0.58304,            0.026213,            0.024095,           0.0063876,            0.007327,            0.007327,            0.007327
                  29,            0.036201,            0.042333,           0.0080943,             0.82046,             0.81407,             0.83964,             0.57652,            0.025542,            0.024002,           0.0066126,            0.007228,            0.007228,            0.007228
                  30,            0.035959,            0.044416,           0.0066534,             0.83448,             0.81217,             0.84669,             0.57578,            0.025709,            0.024112,           0.0062087,            0.007129,            0.007129,            0.007129
                  31,             0.03734,            0.043347,             0.00662,             0.84894,              0.8197,             0.86162,             0.58475,            0.026597,            0.023978,           0.0064954,             0.00703,             0.00703,             0.00703
                  32,            0.034871,            0.043243,            0.006838,              0.8489,             0.82748,             0.85539,             0.58762,            0.026506,            0.023921,           0.0072527,            0.006931,            0.006931,            0.006931
                  33,            0.035229,            0.042383,            0.006463,             0.84755,             0.80623,             0.85278,             0.59123,            0.027186,            0.023358,           0.0060467,            0.006832,            0.006832,            0.006832
                  34,            0.035336,            0.043533,           0.0060044,             0.82561,             0.83448,             0.85948,             0.59209,            0.026134,            0.023701,           0.0073213,            0.006733,            0.006733,            0.006733
                  35,            0.034233,            0.040518,           0.0065137,              0.8429,             0.82294,             0.85157,             0.59955,            0.025564,            0.024076,           0.0065381,            0.006634,            0.006634,            0.006634
                  36,            0.034151,            0.040653,           0.0052628,             0.83404,             0.83394,             0.85307,             0.59275,            0.025727,            0.024045,           0.0061074,            0.006535,            0.006535,            0.006535
                  37,            0.034359,            0.041619,             0.00594,             0.81678,             0.82499,             0.85453,             0.58361,            0.027093,            0.024915,           0.0060368,            0.006436,            0.006436,            0.006436
                  38,            0.033804,            0.041727,           0.0055778,             0.83045,             0.82722,             0.85856,             0.59579,            0.025177,            0.025431,           0.0053301,            0.006337,            0.006337,            0.006337
                  39,            0.033514,            0.041214,           0.0052726,              0.8211,             0.85159,              0.8666,             0.59287,            0.026044,            0.024083,           0.0050306,            0.006238,            0.006238,            0.006238
                  40,            0.033857,            0.040013,           0.0058353,             0.83071,             0.84263,             0.85321,             0.59751,            0.024808,            0.024226,           0.0053494,            0.006139,            0.006139,            0.006139
                  41,            0.032657,            0.041033,           0.0050152,              0.8383,             0.84159,             0.86044,             0.58791,            0.025778,             0.02404,           0.0058528,             0.00604,             0.00604,             0.00604
                  42,            0.033341,            0.042002,           0.0053767,             0.82085,             0.83963,             0.85757,             0.59111,             0.02562,            0.023989,            0.005692,            0.005941,            0.005941,            0.005941
                  43,            0.032392,             0.04021,           0.0052973,             0.84569,             0.82321,             0.85761,             0.60129,            0.024836,            0.023948,           0.0062286,            0.005842,            0.005842,            0.005842
                  44,            0.032703,            0.041734,           0.0046991,              0.8582,             0.84542,             0.86176,             0.60966,            0.025212,            0.024283,           0.0055245,            0.005743,            0.005743,            0.005743
                  45,            0.031363,            0.038578,           0.0047564,             0.84837,             0.81864,             0.84778,              0.5988,            0.025203,            0.023702,           0.0066405,            0.005644,            0.005644,            0.005644
                  46,            0.032789,            0.039351,           0.0053842,             0.81687,             0.83721,             0.84073,              0.5765,             0.02585,            0.024175,           0.0065207,            0.005545,            0.005545,            0.005545
                  47,            0.032532,             0.03981,           0.0048784,             0.86903,             0.83061,             0.87313,             0.61029,            0.025115,            0.023798,           0.0063194,            0.005446,            0.005446,            0.005446
                  48,            0.032322,             0.03996,           0.0044938,             0.87245,             0.83142,             0.87903,             0.60514,            0.024483,            0.023616,           0.0057949,            0.005347,            0.005347,            0.005347
                  49,            0.031851,            0.040039,           0.0047552,             0.85356,             0.83097,             0.87153,             0.61098,            0.024977,            0.023613,           0.0057319,            0.005248,            0.005248,            0.005248
                  50,            0.031549,            0.037199,           0.0043609,             0.84097,             0.84463,             0.85921,             0.60993,            0.025136,            0.023285,            0.006458,            0.005149,            0.005149,            0.005149
                  51,            0.031146,            0.039161,           0.0040903,             0.85529,             0.84358,             0.86869,             0.61768,             0.02496,            0.023092,           0.0054409,             0.00505,             0.00505,             0.00505
                  52,            0.032007,            0.039986,           0.0036887,             0.84874,             0.82886,             0.85457,             0.59851,            0.025891,            0.023468,            0.006117,            0.004951,            0.004951,            0.004951
                  53,            0.030529,            0.038976,           0.0041702,             0.85175,             0.83122,             0.87082,             0.61563,            0.025076,            0.023525,           0.0061461,            0.004852,            0.004852,            0.004852
                  54,            0.030594,            0.036989,            0.004276,             0.83056,              0.8367,             0.85675,             0.60376,            0.025674,            0.023922,           0.0064928,            0.004753,            0.004753,            0.004753
                  55,            0.030888,            0.036632,           0.0039245,             0.85621,             0.84049,             0.86144,             0.62222,            0.024802,            0.023704,            0.006245,            0.004654,            0.004654,            0.004654
                  56,            0.030281,            0.038573,           0.0036684,             0.85368,             0.85621,              0.8687,             0.61417,            0.024794,            0.024337,           0.0063909,            0.004555,            0.004555,            0.004555
                  57,            0.030129,            0.037742,           0.0040477,             0.84707,             0.84772,             0.85899,             0.61459,            0.024476,            0.024257,           0.0063697,            0.004456,            0.004456,            0.004456
                  58,            0.031134,            0.036715,           0.0040801,             0.85357,              0.8353,             0.86921,             0.62315,            0.025162,            0.023799,           0.0055214,            0.004357,            0.004357,            0.004357
                  59,            0.029501,            0.037447,           0.0036981,             0.86182,             0.85461,               0.873,             0.61926,            0.025673,            0.024171,           0.0052398,            0.004258,            0.004258,            0.004258
                  60,            0.029749,            0.038396,           0.0036854,             0.85104,             0.83667,             0.86111,             0.62006,            0.025045,            0.023563,           0.0061469,            0.004159,            0.004159,            0.004159
                  61,            0.029016,            0.037084,           0.0034057,             0.85433,             0.83555,             0.85518,             0.60696,            0.025543,            0.023868,           0.0062944,             0.00406,             0.00406,             0.00406
                  62,            0.029292,            0.037473,           0.0033953,             0.85506,              0.8332,              0.8596,             0.61887,            0.025618,            0.024261,           0.0057938,            0.003961,            0.003961,            0.003961
                  63,             0.02934,            0.036136,           0.0034403,             0.85596,             0.82589,             0.85673,             0.61814,            0.025567,             0.02435,           0.0062707,            0.003862,            0.003862,            0.003862
